,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
234,1,2110,4,0.072273917,10991,78,0,0,0
235,1,2111,4,0.071486019,11133,60,0,0,0
236,1,2112,4,0.053845465,11067,77,0,0,0
237,1,2113,4,0.089758553,11061,82,0,0,0
238,1,2114,4,0.160656914,11127,77,0,0,0
239,1,2115,4,0.035993882,11040,75,0,0,0
240,1,2116,4,0.087581016,11347,71,0,0,0
241,1,2201,4,0.03743916,10637,55,0,0,0
242,1,2202,4,0,10706,57,0,0,0
243,1,2203,4,0.027917365,10693,60,0,0,0
244,1,2204,4,0.073226541,10855,75,0,0,0
245,1,2205,4,0.054884743,10876,61,0,0,0
246,1,2206,4,0.125583068,11070,82,0,0,0
247,1,2207,4,0.088833615,11198,61,0,0,0
248,1,2208,4,0.026249016,11365,65,0,0,0
249,1,2209,4,0.017760413,11203,59,0,0,0
250,1,2210,4,0.052751891,11305,71,0,0,0
251,1,2211,4,0.071974806,11057,58,0,0,0
252,1,2212,4,0.034728251,11447,72,0,0,0
253,1,2213,4,0.052970778,11246,81,0,0,0
254,1,2214,4,0.087320991,11369,85,0,0,0
255,1,2215,4,0.078892007,11326,82,0,0,0
256,1,2216,4,0.059640452,11674,63,0,0,0
257,1,1101,5,0.028571429,10439,61,0,0,0
258,1,1102,5,0.048581421,10230,62,0,0,0
259,1,1103,5,0.077421851,10266,67,0,0,0
260,1,1104,5,0.130353823,10665,75,0,0,0
261,1,1105,5,0.093976133,10573,68,0,0,0
262,1,1106,5,0.092867754,10704,64,0,0,0
263,1,1107,5,0.056285176,10603,57,0,0,0
264,1,1108,5,0.045553938,10901,76,0,0,0
265,1,1109,5,0.064971223,10715,59,0,0,0
266,1,1110,5,0.036917396,10763,72,0,0,0
267,1,1111,5,0.036039282,11041,58,0,0,0
268,1,1112,5,0.08320237,10737,80,0,0,0
269,1,1113,5,0.074815303,10617,76,0,0,0
270,1,1114,5,0.066864073,10401,69,0,0,0
271,1,1115,5,0.056475904,10551,74,0,0,0
272,1,1116,5,0.084301233,10616,62,0,0,0
273,1,1201,5,0.028609574,10431,55,0,0,0
274,1,1202,5,0.094849661,10467,76,0,0,0
275,1,1203,5,0.056438718,10570,62,0,0,0
276,1,1204,5,0.037803609,10512,69,0,0,0
277,1,1205,5,0.084443614,10591,67,0,0,0
278,1,1206,5,0.066106334,10353,237,0,0,0
279,1,1207,5,0.100852661,10827,81,0,0,0
280,1,1208,5,0.054849621,10875,64,0,0,0
281,1,1209,5,0.090942159,10924,73,0,0,0
282,1,1210,5,0.064995356,10713,59,0,0,0
283,1,1211,5,0.054283906,10977,76,0,0,0
284,1,1212,5,0.073943987,10739,81,0,0,0
285,1,1213,5,0.112559795,10577,86,0,0,0
286,1,1214,5,0.055427253,10746,80,0,0,0
287,1,1215,5,0.036781609,10799,76,0,0,0
288,1,1216,5,0.07101012,11189,77,0,0,0
289,1,2101,5,0.06632556,10490,64,0,0,0
290,1,2102,5,0.065451145,10634,61,0,0,0
291,1,2103,5,0.064724922,10746,70,0,0,0
