"","lane","tile","cycle","errorrate","nPerfect","n1Error","n2Error","n3Error","n4Error"
"1431",1,2210,6,0.0879198163747787,11283,93,0,0,0
"1456",1,2211,6,0.0719748064875603,11039,76,0,0,0
"1481",1,2212,6,0.078138567507267,11430,89,0,0,0
"1506",1,2213,6,0.0971130952239037,11226,101,0,0,0
"1556",1,2214,6,0.113517291843891,11346,108,0,0,0
"1581",1,2215,6,0.105189338326454,11302,106,0,0,0
"1631",1,2216,6,0.0766805857419968,11661,76,0,0,0
"7",1,1101,7,0.0666666701436043,10421,79,0,0,0
"25",1,1102,7,0.0485814213752747,10218,74,0,0,0
"69",1,1103,7,0.116132780909538,10247,86,0,0,0
"54",1,1104,7,0.00931098684668541,10654,86,0,0,0
"68",1,1105,7,0.0751809030771255,10558,83,0,0,0
"139",1,1106,7,0.0928677543997765,10681,87,0,0,0
"130",1,1107,7,0.0750469043850899,10583,77,0,0,0
"148",1,1108,7,0.063775509595871,10884,93,0,0,0
"207",1,1109,7,0.0371264144778252,10702,72,0,0,0
"232",1,1110,7,0.0369173958897591,10749,86,0,0,0
"258",1,1111,7,0.0630687475204468,11023,76,0,0,0
"275",1,1112,7,0.101691782474518,10716,101,0,0,0
"276",1,1113,7,0.0654633864760399,10602,91,0,0,0
"350",1,1114,7,0.0477600544691086,10384,86,0,0,0
"327",1,1115,7,0.0470632538199425,10534,91,0,0,0
"360",1,1116,7,0.0562008246779442,10601,77,0,0,0
"407",1,1201,7,0.0572191476821899,10418,68,0,0,0
"432",1,1202,7,0.0663947612047195,10451,92,0,0,0
"457",1,1203,7,0.0470322631299496,10553,79,0,0,0
"478",1,1204,7,0.0756072178483009,10492,89,0,0,0
"495",1,1205,7,0.0281478706747293,10579,79,0,0,0
"534",1,1206,7,0.0566625744104385,10340,250,0,0,0
"544",1,1207,7,0.0733473896980286,10809,99,0,0,0
"575",1,1208,7,0.0639912262558937,10859,80,0,0,0
"607",1,1209,7,0.0272826477885246,10908,89,0,0,0
"632",1,1210,7,0.0649953559041023,10698,74,0,0,0
"657",1,1211,7,0.0542839057743549,10966,87,0,0,0
"683",1,1212,7,0.0647009909152985,10725,95,0,0,0
"694",1,1213,7,0.0281399488449097,10566,97,0,0,0
"737",1,1214,7,0.0277136266231537,10725,101,0,0,0
"740",1,1215,7,0.147126436233521,10773,102,0,0,0
"782",1,1216,7,0.0355050601065159,11178,88,0,0,0
"807",1,2101,7,0.0568558685481548,10475,79,0,0,0
"832",1,2102,7,0.0467508174479008,10615,80,0,0,0
"857",1,2103,7,0.0647249221801758,10729,87,0,0,0
"882",1,2104,7,0.0460574813187122,10783,73,0,0,0
"899",1,2105,7,0.0847218334674835,10551,72,0,0,0
"938",1,2106,7,0.0461765788495541,10721,109,0,0,0
"939",1,2107,7,0.0537393651902676,11085,80,0,0,0
"982",1,2108,7,0.0450247637927532,11033,72,0,0,0
"1007",1,2109,7,0.0801424756646156,11139,91,0,0,0
"1032",1,2110,7,0.0542054399847984,10971,98,0,0,0
"1057",1,2111,7,0.0714860185980797,11113,80,0,0,0
"1082",1,2112,7,0.0538454651832581,11036,108,0,0,0
"1099",1,2113,7,0.0807826966047287,11034,109,0,0,0
"1132",1,2114,7,0.0981792211532593,11100,104,0,0,0
"1145",1,2115,7,0.125978589057922,11011,104,0,0,0
"1207",1,2116,7,0.0700648128986359,11316,102,0,0,0
"1172",1,2201,7,0.0187055747956038,10618,74,0,0,0
"1232",1,2202,7,0.0557465404272079,10689,74,0,0,0
"1257",1,2203,7,0.0837053582072258,10663,90,0,0,0
"1282",1,2204,7,0.0457498393952847,10836,94,0,0,0
"1307",1,2205,7,0.0823045298457146,10852,85,0,0,0
"1332",1,2206,7,0.0807030126452446,10790,362,0,0,0
"1352",1,2207,7,0.044408917427063,11181,78,0,0,0
"1407",1,2208,7,0.0787470489740372,11337,93,0,0,0
"1377",1,2209,7,0.0266406182199717,11183,79,0,0,0
"1432",1,2210,7,0.0263759456574917,11280,96,0,0,0
"1457",1,2211,7,0.0449842549860477,11034,81,0,0,0
"1482",1,2212,7,0.0434103161096573,11425,94,0,0,0
"1507",1,2213,7,0.0529707781970501,11220,107,0,0,0
"1557",1,2214,7,0.13971358537674,11330,124,0,0,0
